simulationId,simulationRun,trial,response,stimulus,trueMu,trueSigma,trueSaturation,trueGamma,trueLambda
0,3,5,True,-0.02327105,-0.1,0.001,0,0,0
0,3,6,True,0.02327106,-0.1,0.001,0,0,0
0,3,7,True,0.06981318,-0.1,0.001,0,0,0
0,3,8,True,0.1163553,-0.1,0.001,0,0,0
0,3,9,True,0.1628974,-0.1,0.001,0,0,0
0,3,10,True,0.2094395,-0.1,0.001,0,0,0
0,3,11,False,-0.2094395,-0.1,0.001,0,0,0
0,3,12,False,-0.1628974,-0.1,0.001,0,0,0
0,3,13,False,-0.1163553,-0.1,0.001,0,0,0
0,3,14,True,-0.06981317,-0.1,0.001,0,0,0
0,3,15,True,-0.02327105,-0.1,0.001,0,0,0
0,3,16,True,0.02327106,-0.1,0.001,0,0,0
0,3,17,True,0.06981318,-0.1,0.001,0,0,0
0,3,18,True,0.1163553,-0.1,0.001,0,0,0
0,3,19,True,0.1628974,-0.1,0.001,0,0,0
0,3,20,True,0.2094395,-0.1,0.001,0,0,0
0,3,21,False,-0.2094395,-0.1,0.001,0,0,0
0,3,22,False,-0.1628974,-0.1,0.001,0,0,0
0,3,23,False,-0.1163553,-0.1,0.001,0,0,0
0,3,24,True,-0.06981317,-0.1,0.001,0,0,0
0,3,25,True,-0.02327105,-0.1,0.001,0,0,0
0,3,26,True,0.02327106,-0.1,0.001,0,0,0
0,3,27,True,0.06981318,-0.1,0.001,0,0,0
0,3,28,True,0.1163553,-0.1,0.001,0,0,0
0,3,29,True,0.1628974,-0.1,0.001,0,0,0
0,3,30,True,0.2094395,-0.1,0.001,0,0,0
0,3,31,False,-0.2094395,-0.1,0.001,0,0,0
0,3,32,False,-0.1628974,-0.1,0.001,0,0,0
0,3,33,False,-0.1163553,-0.1,0.001,0,0,0
0,3,34,True,-0.06981317,-0.1,0.001,0,0,0
0,3,35,True,-0.02327105,-0.1,0.001,0,0,0
0,3,36,True,0.02327106,-0.1,0.001,0,0,0
0,3,37,True,0.06981318,-0.1,0.001,0,0,0
0,3,38,True,0.1163553,-0.1,0.001,0,0,0
0,3,39,True,0.1628974,-0.1,0.001,0,0,0
0,3,40,True,0.2094395,-0.1,0.001,0,0,0
0,4,1,False,-0.2094395,-0.1,0.001,0,0,0
0,4,2,False,-0.1628974,-0.1,0.001,0,0,0
0,4,3,False,-0.1163553,-0.1,0.001,0,0,0
0,4,4,True,-0.06981317,-0.1,0.001,0,0,0
0,4,5,True,-0.02327105,-0.1,0.001,0,0,0
0,4,6,True,0.02327106,-0.1,0.001,0,0,0
0,4,7,True,0.06981318,-0.1,0.001,0,0,0
0,4,8,True,0.1163553,-0.1,0.001,0,0,0
0,4,9,True,0.1628974,-0.1,0.001,0,0,0
0,4,10,True,0.2094395,-0.1,0.001,0,0,0
0,4,11,False,-0.2094395,-0.1,0.001,0,0,0
0,4,12,False,-0.1628974,-0.1,0.001,0,0,0
0,4,13,False,-0.1163553,-0.1,0.001,0,0,0
0,4,14,True,-0.06981317,-0.1,0.001,0,0,0
0,4,15,True,-0.02327105,-0.1,0.001,0,0,0
0,4,16,True,0.02327106,-0.1,0.001,0,0,0
0,4,17,True,0.06981318,-0.1,0.001,0,0,0
0,4,18,True,0.1163553,-0.1,0.001,0,0,0
0,4,19,True,0.1628974,-0.1,0.001,0,0,0
0,4,20,True,0.2094395,-0.1,0.001,0,0,0
0,4,21,False,-0.2094395,-0.1,0.001,0,0,0
0,4,22,False,-0.1628974,-0.1,0.001,0,0,0
0,4,23,False,-0.1163553,-0.1,0.001,0,0,0
0,4,24,True,-0.06981317,-0.1,0.001,0,0,0
0,4,25,True,-0.02327105,-0.1,0.001,0,0,0
0,4,26,True,0.02327106,-0.1,0.001,0,0,0
0,4,27,True,0.06981318,-0.1,0.001,0,0,0
0,4,28,True,0.1163553,-0.1,0.001,0,0,0
0,4,29,True,0.1628974,-0.1,0.001,0,0,0
0,4,30,True,0.2094395,-0.1,0.001,0,0,0
0,4,31,False,-0.2094395,-0.1,0.001,0,0,0
0,4,32,False,-0.1628974,-0.1,0.001,0,0,0
0,4,33,False,-0.1163553,-0.1,0.001,0,0,0
0,4,34,True,-0.06981317,-0.1,0.001,0,0,0
0,4,35,True,-0.02327105,-0.1,0.001,0,0,0
0,4,36,True,0.02327106,-0.1,0.001,0,0,0
0,4,37,True,0.06981318,-0.1,0.001,0,0,0
0,4,38,True,0.1163553,-0.1,0.001,0,0,0
0,4,39,True,0.1628974,-0.1,0.001,0,0,0
0,4,40,True,0.2094395,-0.1,0.001,0,0,0
0,5,1,False,-0.2094395,-0.1,0.001,0,0,0
0,5,2,False,-0.1628974,-0.1,0.001,0,0,0
0,5,3,False,-0.1163553,-0.1,0.001,0,0,0
0,5,4,True,-0.06981317,-0.1,0.001,0,0,0
0,5,5,True,-0.02327105,-0.1,0.001,0,0,0
0,5,6,True,0.02327106,-0.1,0.001,0,0,0
0,5,7,True,0.06981318,-0.1,0.001,0,0,0
0,5,8,True,0.1163553,-0.1,0.001,0,0,0
0,5,9,True,0.1628974,-0.1,0.001,0,0,0
0,5,10,True,0.2094395,-0.1,0.001,0,0,0
0,5,11,False,-0.2094395,-0.1,0.001,0,0,0
0,5,12,False,-0.1628974,-0.1,0.001,0,0,0
