simulationId,simulationRun,trial,response,stimulus,trueMu,trueSigma,trueSaturation,trueGamma,trueLambda
0,3,13,False,-0.1163553,0.05,0.001,0,0,0
0,3,14,False,-0.06981316,0.05,0.001,0,0,0
0,3,15,False,-0.02327105,0.05,0.001,0,0,0
0,3,16,False,0.02327106,0.05,0.001,0,0,0
0,3,17,True,0.06981317,0.05,0.001,0,0,0
0,3,18,True,0.1163553,0.05,0.001,0,0,0
0,3,19,True,0.1628974,0.05,0.001,0,0,0
0,3,20,True,0.2094395,0.05,0.001,0,0,0
0,4,1,False,-0.2094395,0.05,0.001,0,0,0
0,4,2,False,-0.1628974,0.05,0.001,0,0,0
0,4,3,False,-0.1163553,0.05,0.001,0,0,0
0,4,4,False,-0.06981316,0.05,0.001,0,0,0
0,4,5,False,-0.02327105,0.05,0.001,0,0,0
0,4,6,False,0.02327106,0.05,0.001,0,0,0
0,4,7,True,0.06981317,0.05,0.001,0,0,0
0,4,8,True,0.1163553,0.05,0.001,0,0,0
0,4,9,True,0.1628974,0.05,0.001,0,0,0
0,4,10,True,0.2094395,0.05,0.001,0,0,0
0,4,11,False,-0.2094395,0.05,0.001,0,0,0
0,4,12,False,-0.1628974,0.05,0.001,0,0,0
0,4,13,False,-0.1163553,0.05,0.001,0,0,0
0,4,14,False,-0.06981316,0.05,0.001,0,0,0
0,4,15,False,-0.02327105,0.05,0.001,0,0,0
0,4,16,False,0.02327106,0.05,0.001,0,0,0
0,4,17,True,0.06981317,0.05,0.001,0,0,0
0,4,18,True,0.1163553,0.05,0.001,0,0,0
0,4,19,True,0.1628974,0.05,0.001,0,0,0
0,4,20,True,0.2094395,0.05,0.001,0,0,0
0,5,1,False,-0.2094395,0.05,0.001,0,0,0
0,5,2,False,-0.1628974,0.05,0.001,0,0,0
0,5,3,False,-0.1163553,0.05,0.001,0,0,0
0,5,4,False,-0.06981316,0.05,0.001,0,0,0
0,5,5,False,-0.02327105,0.05,0.001,0,0,0
0,5,6,False,0.02327106,0.05,0.001,0,0,0
0,5,7,True,0.06981317,0.05,0.001,0,0,0
0,5,8,True,0.1163553,0.05,0.001,0,0,0
0,5,9,True,0.1628974,0.05,0.001,0,0,0
0,5,10,True,0.2094395,0.05,0.001,0,0,0
0,5,11,False,-0.2094395,0.05,0.001,0,0,0
0,5,12,False,-0.1628974,0.05,0.001,0,0,0
0,5,13,False,-0.1163553,0.05,0.001,0,0,0
0,5,14,False,-0.06981316,0.05,0.001,0,0,0
0,5,15,False,-0.02327105,0.05,0.001,0,0,0
0,5,16,False,0.02327106,0.05,0.001,0,0,0
0,5,17,True,0.06981317,0.05,0.001,0,0,0
0,5,18,True,0.1163553,0.05,0.001,0,0,0
0,5,19,True,0.1628974,0.05,0.001,0,0,0
0,5,20,True,0.2094395,0.05,0.001,0,0,0
0,6,1,False,-0.2094395,0.05,0.001,0,0,0
0,6,2,False,-0.1628974,0.05,0.001,0,0,0
0,6,3,False,-0.1163553,0.05,0.001,0,0,0
